Dokument,Stamm,Typ,Sprache,Zuordnung,Auf_neuer_Site,URL,Endung
KORODUR_0_4_SDB_de.pdf,korodur_0_4_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2025/03/KORODUR_0_4_SDB_de.pdf,pdf
KORODUR_Asphalt_Repair_Mix_SDB_de.pdf,korodur_asphalt_repair_mix_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2025/02/KORODUR_Asphalt_Repair_Mix_SDB_de.pdf,pdf
KORODUR_Asphalt_Repair_Mix_SDB_en.pdf,korodur_asphalt_repair_mix_sdb,SDB/SDS,en,Material safety data sheets [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Asphalt_Repair_Mix_SDB_en.pdf,pdf
KORODUR_Cement_All_plus_SDB_de.pdf,korodur_cement_all_plus_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/KORODUR_Cement_All_plus_SDB_de.pdf,pdf
KORODUR_Designboeden_SDB_de.pdf,korodur_designboeden_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Designboeden_SDB_de.pdf,pdf
KORODUR_DOT_Europe_CONCRETE_MIX_SDB_de.pdf,korodur_dot_europe_concrete_mix_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_DOT_Europe_CONCRETE_MIX_SDB_de.pdf,pdf
KORODUR_Durcisseur_SDB_fr.pdf,korodur_durcisseur_sdb,SDB/SDS,fr,Fiches de données de sécurité [page],nein,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Durcisseur_SDB_fr.pdf,pdf
KORODUR_Durop_SDB_de.pdf,korodur_durop_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Durop_SDB_de.pdf,pdf
KORODUR_Durop_SDB_fr.pdf,korodur_durop_sdb,SDB/SDS,fr,Fiches de données de sécurité [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Durop_SDB_fr.pdf,pdf
KORODUR_hard_aggregates_SDB_en.pdf,korodur_hard_aggregates_sdb,SDB/SDS,en,Material safety data sheets [page],nein,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_hard_aggregates_SDB_en.pdf,pdf
KORODUR_Hartstoffe_SDB_de.pdf,korodur_hartstoffe_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Hartstoffe_SDB_de.pdf,pdf
KORODUR_HB_5_60_rapid_SDB_de.pdf,korodur_hb_5_60_rapid_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_HB_5_60_rapid_SDB_de.pdf,pdf
KORODUR_HB_5_SDB_de.pdf,korodur_hb_5_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_HB_5_SDB_de.pdf,pdf
KORODUR_HB_5_SDB_en.pdf,korodur_hb_5_sdb,SDB/SDS,en,Material safety data sheets [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_HB_5_SDB_en.pdf,pdf
KORODUR_HB_5_SDB_fr.pdf,korodur_hb_5_sdb,SDB/SDS,fr,Fiches de données de sécurité [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_HB_5_SDB_fr.pdf,pdf
KORODUR_HE_3_SDB_de.pdf,korodur_he_3_sdb,SDB/SDS,de,(nur Mediathek),nein,https://www.korodur.de/wp-content/uploads/KORODUR_HE_3_SDB_de.pdf,pdf
KORODUR_Industrieboden_Trockenmoertel_SDB_de.pdf,korodur_industrieboden_trockenmoertel_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Industrieboden_Trockenmoertel_SDB_de.pdf,pdf
KORODUR_Korocure_SDB_de.pdf,korodur_korocure_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Korocure_SDB_de.pdf,pdf
KORODUR_KOROMINERAL_Lasur_Komponente_A_SDB_de.pdf,korodur_koromineral_lasur_komponente_a_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROMINERAL_Lasur_Komponente_A_SDB_de.pdf,pdf
KORODUR_KOROMINERAL_Lasur_Komponente_B_SDB_de.pdf,korodur_koromineral_lasur_komponente_b_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROMINERAL_Lasur_Komponente_B_SDB_de.pdf,pdf
KORODUR_KOROMINERAL_Li_SDB_de.pdf,korodur_koromineral_li_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROMINERAL_Li_SDB_de.pdf,pdf
KORODUR_KOROMINERAL_SDB_de.pdf,korodur_koromineral_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROMINERAL_SDB_de.pdf,pdf
KORODUR_KOROPOX_Komponente_A_SDB_de.pdf,korodur_koropox_komponente_a_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROPOX_Komponente_A_SDB_de.pdf,pdf
KORODUR_KOROPOX_Komponente_B_SDB_de.pdf,korodur_koropox_komponente_b_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROPOX_Komponente_B_SDB_de.pdf,pdf
KORODUR_KOROSEAL_SDB_de.pdf,korodur_koroseal_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROSEAL_SDB_de.pdf,pdf
KORODUR_Korotan_SDB_de.pdf,korodur_korotan_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_Korotan_SDB_de.pdf,pdf
KORODUR_KOROTEX_SDB_de.pdf,korodur_korotex_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_KOROTEX_SDB_de.pdf,pdf
KORODUR_LevelFlor_TRU_SDB_de.pdf,korodur_levelflor_tru_sdb,SDB/SDS,de,Sicherheitsdatenblätter [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KORODUR_LevelFlor_TRU_SDB_de.pdf,pdf
